material_code,material_name,category,quantity_required,stock_qty,reorder_level,size_category,product_id,rack,shelf,box_id
RM069,Hydraulic Oil,Liquid,5,1050,450,medium,P011,RK-M03,1,RK-M03-SH01-BX02
RM070,Pressure Relief Valve,Mechanical,2,1350,300,medium,P011,RK-M04,3,RK-M04-SH03-BX01
RM071,MS Steel Frame,Metal,25,600,150,large,P011,RK-M07,1,RK-M07-SH01-BX01
RM072,Mechanical Seal,Mechanical,2,1050,600,medium,P011,RK-M04,2,RK-M04-SH02-BX01
RM073,High Pressure Hose,Rubber,2,1200,300,medium,P011,RK-M08,2,RK-M08-SH02-BX01
RM074,Power Cable (3-core),Electrical,1.5,600,300,large,P011,RK-M01,2,RK-M01-SH02-BX01
RM075,Copper Wire (0.5mm),Electrical,0.3,600,150,large,P012,RK-M01,1,RK-M01-SH01-BX01
RM076,Silicon Steel Sheet,Metal,1.2,750,300,large,P012,RK-M05,1,RK-M05-SH01-BX01
RM077,Ball Bearing (6202),Mechanical,2,1200,450,medium,P012,RK-M04,1,RK-M04-SH01-BX01
RM078,Motor Shaft (Steel),Metal,1,450,150,large,P012,RK-M05,2,RK-M05-SH02-BX01
RM079,Alternator Rotor,Mechanical,1,600,300,large,P012,RK-M05,3,RK-M05-SH03-BX01
RM080,Fuel Tank (20L Steel),Metal,1,600,150,large,P012,RK-M07,3,RK-M07-SH03-BX02
RM081,Terminal Block,Electronic Component,8,4950,2400,small,P012,RK-M02,1,RK-M02-SH01-BX02
RM082,Copper Wire (0.5mm),Electrical,0.3,600,300,large,P013,RK-M01,1,RK-M01-SH01-BX01
RM083,Silicon Steel Sheet,Metal,1.2,600,150,large,P013,RK-M05,1,RK-M05-SH01-BX01
RM084,Aluminum Die Cast Body,Metal,1,1050,450,medium,P013,RK-M06,1,RK-M06-SH01-BX01
RM085,Ball Bearing (6202),Mechanical,2,1050,300,medium,P013,RK-M04,1,RK-M04-SH01-BX01
RM086,Impeller Wheel (Aluminum),Metal,1,1350,450,medium,P013,RK-M06,1,RK-M06-SH01-BX03
RM087,Wire Guard Mesh,Metal,1,600,300,large,P013,RK-M06,3,RK-M06-SH03-BX02
RM088,Power Cable (3-core),Electrical,1.5,600,150,large,P013,RK-M01,2,RK-M01-SH02-BX01
RM089,MCB Circuit Breaker (32A),Electronic Component,4,5100,2100,small,P014,RK-M02,1,RK-M02-SH01-BX03
RM090,Terminal Block,Electronic Component,30,5700,2100,small,P014,RK-M02,1,RK-M02-SH01-BX02
RM091,DIN Rail (1m),Electronic Component,3,6300,2400,small,P014,RK-M02,2,RK-M02-SH02-BX01
RM092,PLC Controller Module,Electronic Component,1,6900,1650,small,P014,RK-M02,2,RK-M02-SH02-BX03
RM093,Relay Module (24V),Electronic Component,6,5700,1950,small,P014,RK-M02,2,RK-M02-SH02-BX02
RM094,Sheet Metal Box (MS),Metal,1,600,150,large,P014,RK-M07,1,RK-M07-SH01-BX03
RM095,Power Cable (3-core),Electrical,1.5,600,150,large,P014,RK-M01,2,RK-M01-SH02-BX01
RM096,Piston Ring Set,Mechanical,1,1200,450,medium,P015,RK-M04,2,RK-M04-SH02-BX03
RM097,Ball Bearing (6202),Mechanical,2,1050,600,medium,P015,RK-M04,1,RK-M04-SH01-BX01
RM098,Motor Shaft (Steel),Metal,1,600,300,large,P015,RK-M05,2,RK-M05-SH02-BX01
RM099,Lubricating Grease,Liquid,0.5,1200,300,medium,P015,RK-M03,1,RK-M03-SH01-BX03
RM100,Cylinder Block (Cast Iron),Metal,1,750,300,large,P015,RK-M07,3,RK-M07-SH03-BX03
RM101,Crankshaft (Forged Steel),Metal,1,750,300,large,P015,RK-M08,1,RK-M08-SH01-BX01
RM102,Fuel Tank (20L Steel),Metal,1,600,150,large,P015,RK-M07,3,RK-M07-SH03-BX02
RM103,Fuel Injector,Mechanical,2,1200,300,medium,P015,RK-M04,3,RK-M04-SH03-BX02
RM104,FRP Shell Panel,Composite,4,600,150,large,P016,RK-M07,2,RK-M07-SH02-BX03
RM105,Copper Wire (0.5mm),Electrical,0.3,600,300,large,P016,RK-M01,1,RK-M01-SH01-BX01
RM106,Ball Bearing (6202),Mechanical,2,1050,450,medium,P016,RK-M04,1,RK-M04-SH01-BX01
RM107,Pressure Relief Valve,Mechanical,1,1200,450,medium,P016,RK-M04,3,RK-M04-SH03-BX01
RM108,PVC Fill Media,Plastic,5,1350,600,medium,P016,RK-M08,2,RK-M08-SH02-BX02
RM109,Drift Eliminator (PVC),Plastic,2,1200,450,medium,P016,RK-M08,2,RK-M08-SH02-BX03
RM110,Power Cable (3-core),Electrical,1.5,450,150,large,P016,RK-M01,2,RK-M01-SH02-BX01
RM111,Mechanical Seal,Mechanical,2,1350,450,medium,P017,RK-M04,2,RK-M04-SH02-BX01
RM112,Piston Ring Set,Mechanical,1,1200,450,medium,P017,RK-M04,2,RK-M04-SH02-BX03
RM113,Stainless Steel Casing,Metal,1,450,300,large,P017,RK-M06,2,RK-M06-SH02-BX03
RM114,Pressure Relief Valve,Mechanical,1,1200,600,medium,P017,RK-M04,3,RK-M04-SH03-BX01
RM115,Aluminum End Cap,Metal,2,1050,600,medium,P017,RK-M06,1,RK-M06-SH01-BX02
RM116,Gear Box Oil Seal,Mechanical,1,5100,1800,small,P017,RK-M04,2,RK-M04-SH02-BX02
RM117,Load Cell Sensor (500kg),Sensor,4,6150,2400,small,P018,RK-M02,3,RK-M02-SH03-BX02
RM118,PLC Controller Module,Electronic Component,1,5400,1650,small,P018,RK-M02,2,RK-M02-SH02-BX03
RM119,Terminal Block,Electronic Component,10,6750,1800,small,P018,RK-M02,1,RK-M02-SH01-BX02
RM120,MS Steel Frame,Metal,8,600,300,large,P018,RK-M07,1,RK-M07-SH01-BX01
RM121,LED Display Unit,Electronic Component,1,5700,2250,small,P018,RK-M02,3,RK-M02-SH03-BX01
RM122,Power Cable (3-core),Electrical,1.5,600,300,large,P018,RK-M01,2,RK-M01-SH02-BX01
RM123,MS Steel Frame,Metal,20,600,300,large,P019,RK-M07,1,RK-M07-SH01-BX01
RM124,Ball Bearing (6202),Mechanical,4,1050,450,medium,P019,RK-M04,1,RK-M04-SH01-BX01
RM125,Motor Shaft (Steel),Metal,1,600,150,large,P019,RK-M05,2,RK-M05-SH02-BX01
RM126,Lubricating Grease,Liquid,0.5,1050,450,medium,P019,RK-M03,1,RK-M03-SH01-BX03
RM127,Helical Screw Blade (MS),Metal,1,450,150,large,P019,RK-M07,2,RK-M07-SH02-BX01
RM128,Copper Wire (0.5mm),Electrical,0.3,750,300,large,P019,RK-M01,1,RK-M01-SH01-BX01
RM129,Power Cable (3-core),Electrical,1.5,450,150,large,P019,RK-M01,2,RK-M01-SH02-BX01
RM130,MS Steel Frame,Metal,18,600,300,large,P020,RK-M07,1,RK-M07-SH01-BX01
RM131,Ball Bearing (6202),Mechanical,2,1350,600,medium,P020,RK-M04,1,RK-M04-SH01-BX01
RM132,Copper Wire (0.5mm),Electrical,0.3,600,150,large,P020,RK-M01,1,RK-M01-SH01-BX01
RM133,Woven Wire Mesh Screen,Metal,2,600,300,large,P020,RK-M07,2,RK-M07-SH02-BX02
RM134,Vibration Motor (0.5HP),Mechanical,1,600,300,large,P020,RK-M08,1,RK-M08-SH01-BX02
RM135,Rubber Conveyor Belt,Rubber,5,600,150,large,P020,RK-M08,1,RK-M08-SH01-BX03
RM136,Power Cable (3-core),Electrical,1.5,600,150,large,P020,RK-M01,2,RK-M01-SH02-BX01
